No.,Time,Source,Destination,Protocol,Length,Frame,Time delta from previous displayed frame,Info,,,,,,,,,,,Time 2,Time 1,Delay,delay 2,delay 1,jitter
29,2.615502,192.168.43.13,74.125.200.136,TCP,54,â\234\223,0.000074,49987  >  443 [ACK] Seq=1781 Ack=1294 Win=64768 Len=0,,,,,,,,,,,2.616249,2.615502,0.000747,0.013381,0.000747,0.012634
30,2.616249,192.168.43.13,74.125.200.136,TLSv1.3,93,â\234\223,0.000747,Application Data,,,,,,,,,,,2.62963,2.616249,0.013381,0.019394,0.013381,0.006013
32,2.62963,74.125.200.136,192.168.43.13,TCP,54,â\234\223,0.013381,443  >  49987 [ACK] Seq=1294 Ack=1781 Win=23840 Len=0,,,,,,,,,,,2.649024,2.62963,0.019394,0.010043,0.019394,-0.009351
33,2.649024,74.125.200.136,192.168.43.13,TCP,54,â\234\223,0.019394,443  >  49987 [ACK] Seq=1294 Ack=1820 Win=23872 Len=0,,,,,,,,,,,2.659067,2.649024,0.010043,0.041282,0.010043,0.031239
36,2.659067,192.168.43.13,172.217.194.94,TCP,66,â\234\223,0.010043,49988  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,2.700349,2.659067,0.041282,0.00022,0.041282,-0.041062
37,2.700349,172.217.194.94,192.168.43.13,TCP,66,â\234\223,0.041282,"443  >  49988 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1380 WS=32 SACK_PERM=1",,,,,,,,,,,2.700569,2.700349,0.00022,0.000761,0.00022,0.000541
38,2.700569,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.00022,49988  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,,,,,,,,,,,2.70133,2.700569,0.000761,0.223392,0.000761,0.222631
39,2.70133,192.168.43.13,172.217.194.94,TLSv1.3,571,â\234\223,0.000761,Client Hello,,,,,,,,,,,2.924722,2.70133,0.223392,0.077498,0.223392,-0.145894
40,2.924722,192.168.43.13,172.217.194.94,TCP,66,â\234\223,0.223392,49989  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,3.00222,2.924722,0.077498,0.118188,0.077498,0.04069
41,3.00222,192.168.43.13,172.217.194.94,TCP,571,â\234\223,0.077498,"[TCP Retransmission] 49988  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66048 Len=517",,,,,,,,,,,3.120408,3.00222,0.118188,0.000221,0.118188,-0.117967
42,3.120408,172.217.194.94,192.168.43.13,TCP,66,â\234\223,0.118188,"443  >  49989 [SYN, ACK] Seq=0 Ack=1 Win=22400 Len=0 MSS=1380 WS=32 SACK_PERM=1",,,,,,,,,,,3.120629,3.120408,0.000221,0.000359,0.000221,0.000138
43,3.120629,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.000221,49989  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,,,,,,,,,,,3.120988,3.120629,0.000359,0,0.000359,-0.000359
44,3.120988,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0.000359,443  >  49988 [ACK] Seq=1 Ack=518 Win=22592 Len=0,,,,,,,,,,,3.120988,3.120988,0,0.000371,0,0.000371
45,3.120988,172.217.194.94,192.168.43.13,TCP,54,â\234\223,0,[TCP Dup ACK 44#1] 443  >  49988 [ACK] Seq=1 Ack=518 Win=22592 Len=0,,,,,,,,,,,3.121359,3.120988,0.000371,0.009206,0.000371,0.008835
46,3.121359,192.168.43.13,172.217.194.94,TLSv1.3,571,â\234\223,0.000371,Client Hello,,,,,,,,,,,3.130565,3.121359,0.009206,0.000862,0.009206,-0.008344
47,3.130565,172.217.194.94,192.168.43.13,TLSv1.3,1422,â\234\223,0.009206,"Server Hello, Change Cipher Spec",,,,,,,,,,,3.131427,3.130565,0.000862,8.1E-05,0.000862,-0.000781
48,3.131427,172.217.194.94,192.168.43.13,TLSv1.3,1357,â\234\223,0.000862,Application Data,,,,,,,,,,,3.131508,3.131427,8.1E-05,0.004835,8.1E-05,0.004754
49,3.131508,192.168.43.13,172.217.194.94,TCP,54,â\234\223,0.000081,49988  >  443 [ACK] Seq=518 Ack=2672 Win=66048 Len=0,,,,,,,,,,,3.136343,3.131508,0.004835,0.000565,0.004835,-0.00427
50,3.136343,192.168.43.13,172.217.194.94,TLSv1.3,118,â\234\223,0.004835,"Change Cipher Spec, Application Data",,,,,,,,,,,3.136908,3.136343,0.000565,0.000308,0.000565,-0.000257
